Source Site Type,Target Site Type,Relationship Role,Source Site Name (Italian),Source Site Name (English),Source Modern Municipality,Source Modern Province,Source Historical Region,Source Site Dedication Subject(s),Source Monastic Affiliation,Target Site Name (Italian),Target Site Name (English),Target Modern Municipality,Target Modern Province,Target Historical Region,Target Site Dedication Subject(s)
Monasteries,Monasteries,Dependent or Possession of,San Matteo di Messina,Saint Matthew of Messina,Messina,Messina,Val Demone,Saint Matthew,Augustinian Canons,Santa Maria e i Dodici Apostoli,Saint Mary and the Twelve Apostles,,,,the Virgin Mary and the Twelve Apostles
Monasteries,Monasteries,Dependent or Possession of,Sant'Eunufrio di Calatabiano,Saint Eunufrius of Calatabiano,Calatabiano,Catania,Val Demone,Saint Onufrius,Augustinian Canons,Santa Maria e i Dodici Apostoli,Saint Mary and the Twelve Apostles,,,,the Virgin Mary and the Twelve Apostles
Monasteries,Monasteries,Dependent or Possession of,San Giorgio di Lentini,Saint George of Lentini,Lentini,Syracuse,Val di Noto,Saint George,Augustinian Canons,Santa Maria e i Dodici Apostoli,Saint Mary and the Twelve Apostles,,,,the Virgin Mary and the Twelve Apostles
Monasteries,Monasteries,Dependent or Possession of,Santa Lucia di Rahalbiato,Saint Lucy of Rahalbiato,Noto,Syracuse,Val di Noto,Saint Lucy,Augustinian Canons,Santa Maria e i Dodici Apostoli,Saint Mary and the Twelve Apostles,,,,the Virgin Mary and the Twelve Apostles
Monasteries,Monasteries,Dependent or Possession of,San Giorgio di Hares,Saint George of Hares,,,,Saint George,Augustinian Canons,Santa Maria e i Dodici Apostoli,Saint Mary and the Twelve Apostles,,,,the Virgin Mary and the Twelve Apostles
Monasteries,Monasteries,Dependent or Possession of,San Pietro di Sclafani,Saint Peter of Sclafani,Sclafani Bagni,Palermo,Val di Mazara,Saint Peter,Augustinian Canons,Santa Maria e i Dodici Apostoli,Saint Mary and the Twelve Apostles,,,,the Virgin Mary and the Twelve Apostles
Monasteries,Monasteries,Dependent or Possession of,San Nicola di Corleone,Saint Nicholas of Corleone,Corleone,Palermo,Val di Mazara,Saint Nicholas,Augustinian Canons,Santa Maria e i Dodici Apostoli,Saint Mary and the Twelve Apostles,,,,the Virgin Mary and the Twelve Apostles
Monasteries,Monasteries,Dependent or Possession of,San Pietro di Milazzo,Saint Peter of Milazzo,Milazzo,Messina,Val Demone,Saint Peter,Augustinian Canons,Santa Maria e i Dodici Apostoli,Saint Mary and the Twelve Apostles,,,,the Virgin Mary and the Twelve Apostles
Monasteries,Monasteries,Dependent or Possession of,San Cataldo,Saint Cataldo,,,,Saint Catald,Augustinian Canons,Santa Maria e i Dodici Apostoli,Saint Mary and the Twelve Apostles,,,,the Virgin Mary and the Twelve Apostles
Monasteries,Churches,Dependent or Possession of,Santissimo Salvatore e Santi Pietro e Paolo,Most Holy Savior and Saints Peter and Paul,Cefalù,Palermo,Val Demone,"Christ, Saint Peter, Saint Paul",Augustinian Canons,La Chiesa di San Nicolò,Cathedral of Saint Nicholas,Messina,Messina,Val Demone,Saint Nicholas
Monasteries,Monasteries,Colonized by,Santissimo Salvatore e Santi Pietro e Paolo,Most Holy Savior and Saints Peter and Paul,Cefalù,Palermo,Val Demone,"Christ, Saint Peter, Saint Paul",Augustinian Canons,Santa Maria e i Dodici Apostoli,Saint Mary and the Twelve Apostles,,,,the Virgin Mary and the Twelve Apostles
Monasteries,Churches,Dependent or Possession of,Santa Lucia,Saint Lucy,Syracuse,Syracuse,Val di Noto,Saint Lucy,Augustinian Canons,La Chiesa di San Filippo,Church of Saint Philip,Adrano,Catania,Val Demone,Saint Philip the Apostle
Monasteries,Churches,Dependent or Possession of,San Giorgio di Gratteri,Saint George of Gratteri,Gratteri,Palermo,Val Demone,Saint George,Premonstratensian Canons,La Chiesa di San Filippo,Church of Saint Philip,Adrano,Catania,Val Demone,Saint Philip the Apostle
